name,code,region
Aruba,ABW,Latin America and The Caribbean
Afghanistan,AFG,Asia
Angola,AGO,Africa
Anguilla,AIA,Latin America and The Caribbean
Albania,ALB,Europe
Andorra,AND,Europe
United Arab Emirates,ARE,Asia
Argentina,ARG,Latin America and The Caribbean
Armenia,ARM,Asia
American Samoa,ASM,Oceania
Antigua and Barbuda,ATG,Latin America and The Caribbean
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Asia
Burundi,BDI,Africa
Belgium,BEL,Europe
Benin,BEN,Africa
"Bonaire, Sint Eustatius and Saba",BES,Latin America and The Caribbean
Burkina Faso,BFA,Africa
Bangladesh,BGD,Asia
Bulgaria,BGR,Europe
Bahrain,BHR,Asia
Bahamas,BHS,Latin America and The Caribbean
Bosnia and Herzegovina,BIH,Europe
Saint Barthelemy,BLM,Latin America and The Caribbean
Belarus,BLR,Europe
Belize,BLZ,Latin America and The Caribbean
Bermuda,BMU,North America
Bolivia (Plurinational State of),BOL,Latin America and The Caribbean
Brazil,BRA,Latin America and The Caribbean
Barbados,BRB,Latin America and The Caribbean
Brunei Darussalam,BRN,Asia
Bhutan,BTN,Asia
Botswana,BWA,Africa
Central African Republic,CAF,Africa
Canada,CAN,North America
Switzerland,CHE,Europe
Chile,CHL,Latin America and The Caribbean
China,CHN,Asia
Cote d'Ivoire,CIV,Africa
Cameroon,CMR,Africa
Democratic Republic of the Congo,COD,Africa
Congo,COG,Africa
Cook Islands,COK,Oceania
Colombia,COL,Latin America and The Caribbean
Comoros,COM,Africa
Cabo Verde,CPV,Africa
Costa Rica,CRI,Latin America and The Caribbean
Cuba,CUB,Latin America and The Caribbean
Curacao,CUW,Latin America and The Caribbean
Cayman Islands,CYM,Latin America and The Caribbean
Cyprus,CYP,Asia
Czechia,CZE,Europe
Germany,DEU,Europe
Djibouti,DJI,Africa
Dominica,DMA,Latin America and The Caribbean
Denmark,DNK,Europe
Dominican Republic,DOM,Latin America and The Caribbean
Algeria,DZA,Africa
Ecuador,ECU,Latin America and The Caribbean
Egypt,EGY,Africa
Eritrea,ERI,Africa
Western Sahara,ESH,Africa
Spain,ESP,Europe
Estonia,EST,Europe
Ethiopia,ETH,Africa
Finland,FIN,Europe
Fiji,FJI,Oceania
Falkland Islands (Malvinas),FLK,Latin America and The Caribbean
France,FRA,Europe
Faroe Islands,FRO,Europe
Micronesia (Fed. States of),FSM,Oceania
Gabon,GAB,Africa
United Kingdom,GBR,Europe
Georgia,GEO,Asia
Guernsey,GGY,Europe
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Guinea,GIN,Africa
Guadeloupe,GLP,Latin America and The Caribbean
Gambia,GMB,Africa
Guinea-Bissau,GNB,Africa
Equatorial Guinea,GNQ,Africa
Greece,GRC,Europe
Grenada,GRD,Latin America and The Caribbean
Greenland,GRL,North America
Guatemala,GTM,Latin America and The Caribbean
French Guiana,GUF,Latin America and The Caribbean
Guam,GUM,Oceania
Guyana,GUY,Latin America and The Caribbean
"China, Hong Kong SAR",HKG,Asia
Honduras,HND,Latin America and The Caribbean
Croatia,HRV,Europe
Haiti,HTI,Latin America and The Caribbean
Hungary,HUN,Europe
Indonesia,IDN,Asia
Isle of Man,IMN,Europe
India,IND,Asia
Ireland,IRL,Europe
Iran (Islamic Republic of),IRN,Asia
Iraq,IRQ,Asia
Iceland,ISL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,Latin America and The Caribbean
Jersey,JEY,Europe
Jordan,JOR,Asia
Japan,JPN,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kyrgyzstan,KGZ,Asia
Cambodia,KHM,Asia
Kiribati,KIR,Oceania
Saint Kitts and Nevis,KNA,Latin America and The Caribbean
Republic of Korea,KOR,Asia
Kuwait,KWT,Asia
Lao People's Democratic Republic,LAO,Asia
Lebanon,LBN,Asia
Liberia,LBR,Africa
Libya,LBY,Africa
Saint Lucia,LCA,Latin America and The Caribbean
Liechtenstein,LIE,Europe
Sri Lanka,LKA,Asia
Lesotho,LSO,Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Latvia,LVA,Europe
"China, Macao SAR",MAC,Asia
Saint Martin (French part),MAF,Latin America and The Caribbean
Morocco,MAR,Africa
Monaco,MCO,Europe
Republic of Moldova,MDA,Europe
Madagascar,MDG,Africa
Maldives,MDV,Asia
Mexico,MEX,Latin America and The Caribbean
Marshall Islands,MHL,Oceania
North Macedonia,MKD,Europe
Mali,MLI,Africa
Malta,MLT,Europe
Myanmar,MMR,Asia
Montenegro,MNE,Europe
Mongolia,MNG,Asia
Northern Mariana Islands,MNP,Oceania
Mozambique,MOZ,Africa
Mauritania,MRT,Africa
Montserrat,MSR,Latin America and The Caribbean
Martinique,MTQ,Latin America and The Caribbean
Mauritius,MUS,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Mayotte,MYT,Africa
Namibia,NAM,Africa
New Caledonia,NCL,Oceania
Niger,NER,Africa
Nigeria,NGA,Africa
Nicaragua,NIC,Latin America and The Caribbean
Niue,NIU,Oceania
Netherlands,NLD,Europe
Norway,NOR,Europe
Nepal,NPL,Asia
Nauru,NRU,Oceania
New Zealand,NZL,Oceania
Oman,OMN,Asia
Pakistan,PAK,Asia
Panama,PAN,Latin America and The Caribbean
Peru,PER,Latin America and The Caribbean
Philippines,PHL,Asia
Palau,PLW,Oceania
Papua New Guinea,PNG,Oceania
Poland,POL,Europe
Puerto Rico,PRI,Latin America and The Caribbean
Dem. People's Republic of Korea,PRK,Asia
Portugal,PRT,Europe
Paraguay,PRY,Latin America and The Caribbean
State of Palestine,PSE,Asia
French Polynesia,PYF,Oceania
Qatar,QAT,Asia
Reunion,REU,Africa
Romania,ROU,Europe
Russian Federation,RUS,Europe
Rwanda,RWA,Africa
Saudi Arabia,SAU,Asia
Sudan,SDN,Africa
Senegal,SEN,Africa
Singapore,SGP,Asia
Saint Helena,SHN,Africa
Solomon Islands,SLB,Oceania
Sierra Leone,SLE,Africa
El Salvador,SLV,Latin America and The Caribbean
San Marino,SMR,Europe
Somalia,SOM,Africa
Saint Pierre and Miquelon,SPM,North America
Serbia,SRB,Europe
South Sudan,SSD,Africa
Sao Tome and Principe,STP,Africa
Suriname,SUR,Latin America and The Caribbean
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Sweden,SWE,Europe
Eswatini,SWZ,Africa
Sint Maarten (Dutch part),SXM,Latin America and The Caribbean
Seychelles,SYC,Africa
Syrian Arab Republic,SYR,Asia
Turks and Caicos Islands,TCA,Latin America and The Caribbean
Chad,TCD,Africa
Togo,TGO,Africa
Thailand,THA,Asia
Tajikistan,TJK,Asia
Tokelau,TKL,Oceania
Turkmenistan,TKM,Asia
Timor-Leste,TLS,Asia
Tonga,TON,Oceania
Trinidad and Tobago,TTO,Latin America and The Caribbean
Tunisia,TUN,Africa
TuÅrkiye,TUR,Asia
Tuvalu,TUV,Oceania
"China, Taiwan Province of China",TWN,Asia
United Republic of Tanzania,TZA,Africa
Uganda,UGA,Africa
Ukraine,UKR,Europe
Uruguay,URY,Latin America and The Caribbean
United States of America,USA,North America
Uzbekistan,UZB,Asia
Holy See,VAT,Europe
Saint Vincent and the Grenadines,VCT,Latin America and The Caribbean
Venezuela (Bolivarian Republic of),VEN,Latin America and The Caribbean
British Virgin Islands,VGB,Latin America and The Caribbean
United States Virgin Islands,VIR,Latin America and The Caribbean
Viet Nam,VNM,Asia
Vanuatu,VUT,Oceania
Wallis and Futuna Islands,WLF,Oceania
Samoa,WSM,Oceania
Kosovo (under UNSC res. 1244),XKX,Europe
Yemen,YEM,Asia
South Africa,ZAF,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
